word1,word2,mean,ano1,ano2,ano3,ano4,ano5,ano6,ano7,ano8,ano9,ano10,tag,mecab,ambiguity
あらまし,要旨,8.4,10,6,8,10,8,7,7,9,9,6,noun,yes,no
あらまし,大要,8,10,6,7,9,8,9,7,7,9,5,noun,yes,no
あらまし,概略,8.6,10,7,7,10,9,9,8,8,9,7,noun,yes,no
うたい文句,売り込み文句,8,8,7,8,9,8,9,8,9,8,4,noun,no,n/a
うたい文句,謳い文句,9.6,10,10,10,9,9,10,10,10,10,10,noun,yes,no
うたい文句,売り言葉,4.8,2,0,8,9,5,0,8,7,8,0,noun,yes,no
うたい文句,キャッチフレーズ,8.4,8,7,8,10,9,8,8,9,8,6,noun,yes,no
おおすじ,概略,8.4,8,10,9,8,7,9,7,9,7,9,noun,yes,no
おおすじ,要点,8,10,7,6,9,8,4,6,8,8,6,noun,yes,no
おおすじ,主要,7.4,10,6,6,9,6,6,5,6,9,4,noun,yes,no
おおすじ,あらまし,8.4,7,8,9,9,9,8,6,7,9,8,noun,yes,no
おおすじ,概要,8.8,8,10,8,10,8,7,7,9,8,7,noun,yes,no
おおすじ,大筋,10,10,10,10,10,10,10,10,10,10,10,noun,yes,no
おおすじ,大要,9,8,10,9,10,8,8,8,9,8,7,noun,yes,no
おおすじ,要旨,9,8,10,9,9,9,9,8,9,8,7,noun,yes,no
おおまか,全容,8.2,8,10,9,6,8,7,8,9,5,9,noun,yes,no
おおまか,要点,8.6,8,10,9,8,8,6,5,8,9,7,noun,yes,no
おおまか,概要,8.4,10,7,7,10,8,9,8,8,9,6,noun,yes,no
おおまか,内容,5.2,2,10,5,8,1,1,3,3,8,6,noun,yes,no
おおまか,あらまし,7.2,6,4,8,9,9,6,8,8,9,5,noun,yes,no
おおまか,要旨,8.6,7,10,8,9,9,8,7,9,8,5,noun,yes,no
おおまか,概略,8.4,8,10,8,9,7,9,7,9,8,6,noun,yes,no
おおまか,大筋,8.8,8,10,9,9,8,8,8,9,9,7,noun,yes,no
お仕事,任務,7.8,7,7,8,9,8,8,7,8,6,6,noun,yes,no
お目覚め,寝起き,7.4,8,3,9,9,8,8,8,8,9,7,noun,yes,no
お金,ギャランティー,8.4,9,9,9,8,7,5,7,9,4,9,noun,yes,no
お金,給料,7.4,6,9,10,7,5,6,7,9,4,8,noun,yes,no
お金,報酬,6.2,6,4,5,10,6,8,6,3,8,7,noun,yes,no
お金,賃金,6.4,6,6,5,10,5,10,6,3,7,7,noun,yes,no
お金,ギャラ,7.6,8,7,5,10,8,8,6,2,7,7,noun,yes,no
カネ,お金,9.6,10,10,10,9,9,10,10,9,10,10,noun,yes,no
カネ,報酬,7,5,6,10,7,7,5,8,9,4,8,noun,yes,no
カネ,ギャラ,7,8,5,6,10,6,6,6,1,8,6,noun,yes,no
カネ,給料,6,7,3,6,10,4,3,5,3,9,5,noun,yes,no
カラー,色合い,7.8,8,8,9,7,7,7,8,7,9,9,noun,yes,no
カラー,色調,8.8,8,10,9,9,8,7,8,5,7,10,noun,yes,no
カラー,彩り,8.4,7,9,9,9,8,8,7,9,8,6,noun,yes,yes
カラー,色彩,8.8,8,9,9,9,9,10,6,9,9,6,noun,yes,no
カラーリング,色調,8.4,8,9,10,7,8,7,8,9,9,9,noun,yes,no
カラフル,色相,7.2,8,8,9,8,3,3,9,7,9,7,noun,yes,no
カラフル,色,5.4,6,5,4,9,3,6,4,5,7,5,noun,yes,no
カラフル,色彩,7.8,9,8,6,10,6,7,6,7,8,7,noun,yes,no
カラフル,色とりどり,7.6,8,8,9,9,4,8,7,7,9,6,noun,yes,no
きっかけ,引き金,9,9,10,9,9,8,9,6,9,9,10,noun,yes,no
きっかけ,要因,8.6,8,10,9,8,8,9,7,9,9,0,noun,yes,no
きっかけ,動因,8.6,9,10,9,8,7,8,7,8,9,8,noun,yes,no
きっかけ,契機,9.6,9,10,10,10,9,7,8,9,8,10,noun,yes,no
きっかけ,呼び水,8.8,8,10,8,10,8,5,7,7,8,6,noun,yes,no
きっかけ,発端,9,8,10,9,10,8,8,6,8,6,7,noun,yes,no
きっかけ,トリガー,8.8,8,10,9,9,8,7,8,8,8,2,noun,yes,no
きっかけ,スイッチ,8.4,8,10,9,10,5,8,6,8,7,2,noun,yes,no
キャッチフレーズ,売り込み文句,8.2,8,8,8,10,7,10,8,9,7,7,noun,no,n/a
キャッチフレーズ,売り文句,8,8,7,8,10,7,8,9,9,9,7,noun,no,n/a
キャッチフレーズ,売り言葉,8.4,8,6,10,9,9,8,7,9,8,7,noun,yes,no
キャッチフレーズ,惹句,6.6,8,2,10,9,4,6,7,9,7,9,noun,yes,no
キャッチフレーズ,謳い文句,8.2,6,8,8,10,9,10,9,9,9,8,noun,yes,no
キャッチフレーズ,名目,4.8,0,6,6,9,3,3,7,7,6,4,noun,yes,no
キャッチフレーズ,キャチコピー,8.4,8,8,9,9,8,0,9,9,9,6,noun,yes,no
ギャラ,ファイトマネー,6.8,8,6,10,7,3,3,5,9,5,8,noun,yes,no
ギャラ,報酬,7.8,8,8,6,10,7,10,9,6,9,8,noun,yes,no
ギャラ,ギャランティー,9.6,10,10,10,10,8,10,10,9,9,8,noun,yes,no
ギャラ,給料,8.2,8,6,9,10,8,9,9,10,7,7,noun,yes,no
コスチューム,服,7.2,8,4,10,7,7,9,9,8,8,8,noun,yes,no
コスチューム,衣,7,8,3,10,7,7,3,8,8,8,8,noun,yes,no
コスチューム,お召し物,7.6,7,7,8,9,7,6,7,7,8,4,noun,yes,no
コスチューム,着物,6.6,3,7,7,9,7,9,4,7,9,3,noun,yes,no
こめかみ,側頭部,7.8,10,7,6,10,6,9,6,6,9,5,noun,no,n/a
こめかみ,頭,5.8,10,4,3,9,3,6,3,4,3,2,noun,yes,no
シリーズ,一続き,6.6,7,2,8,8,8,5,7,7,9,2,noun,no,n/a
シリーズ,一通り,6,8,2,7,6,7,8,7,4,8,5,noun,yes,no
シリーズ,一連,6.8,7,2,9,9,7,6,6,7,8,5,noun,yes,no
スイッチ,トリガー,7.4,9,6,8,8,6,7,7,8,9,7,noun,yes,no
スイッチ,引き金,5.6,7,1,4,9,7,8,6,8,7,5,noun,yes,no
スイッチ,呼び水,6,7,1,9,5,8,8,6,8,6,1,noun,yes,no
スタイル,格好,7.4,8,1,10,9,9,6,9,9,9,9,noun,yes,no
スタイル,コスチューム,5.2,6,0,8,6,6,3,7,8,7,6,noun,yes,no
スタイル,ファッション,4.6,1,1,5,9,7,2,3,3,8,3,noun,yes,no
スタイル,衣装,6,1,6,6,9,8,2,3,4,8,2,noun,yes,no
すべ,手口,8.8,8,10,9,8,9,8,3,9,8,9,noun,yes,no
すべ,術,9,8,10,10,9,8,7,7,10,10,10,noun,yes,no
すべ,作戦,7.2,10,5,7,9,5,5,9,4,9,6,noun,yes,no
すべ,道筋,8.2,10,9,8,8,6,7,7,5,7,7,noun,yes,no
すべて,ひととおり,7.8,8,6,8,9,8,7,6,5,7,6,noun,no,n/a
すべて,一連,8.4,6,10,9,10,7,4,4,7,8,7,noun,yes,no
スローガン,うたい文句,5.8,5,0,9,8,7,9,6,9,7,10,noun,yes,no
スローガン,標語,6.8,8,0,10,7,9,9,8,9,9,10,noun,yes,no
スローガン,キャッチフレーズ,7.8,6,8,9,9,7,3,9,7,8,4,noun,yes,no
スローガン,謳い文句,7.4,2,9,8,10,8,5,9,7,9,3,noun,yes,no
つきもの,定め,6.6,7,10,8,5,3,7,4,8,8,7,noun,yes,no
つきもの,運命,5.6,0,10,5,9,4,6,7,7,7,1,noun,yes,no
つきもの,宿命,6,0,10,5,9,6,3,8,7,6,2,noun,yes,no
テーマ,ベース,6.4,8,3,6,8,7,6,7,5,7,9,noun,yes,no
テーマ,基調,5.2,2,3,4,9,8,6,6,6,7,5,noun,yes,no
テーマ,議事,6.8,6,6,7,10,5,8,6,7,8,6,noun,yes,no
テーマ,議題,8.6,8,7,9,10,9,10,8,9,7,7,noun,yes,no
ト—ン,カラーリング,4.6,7,3,8,1,4,6,3,5,7,8,noun,no,n/a
ト—ン,色調,7.2,8,8,10,2,8,8,6,9,9,9,noun,no,n/a
トップ,第一番,6,2,5,8,9,6,10,6,4,8,6,noun,no,n/a
トップ,総統,7.8,7,8,9,7,8,8,6,9,8,10,noun,yes,no
トップ,頭,7.8,7,8,9,8,7,7,9,9,9,10,noun,yes,no
トップ,リーダー,8,7,6,10,9,8,9,7,9,9,10,noun,yes,no
トップ,ホープ,5,5,0,8,7,5,3,2,8,6,0,noun,yes,no
トップ,頂点,8.8,9,9,9,10,7,10,7,9,9,6,noun,yes,no
トップ,巨匠,5.4,0,7,7,8,5,9,6,9,4,3,noun,yes,no
トリガー,動因,7.8,9,6,9,8,7,9,7,9,9,0,noun,yes,no
ドレス,コスチューム,5.6,4,2,6,9,7,4,4,5,6,4,noun,yes,no
ドレス,服装,6.6,4,6,6,10,7,7,4,6,9,5,noun,yes,no
ドレス,衣服,6.8,4,6,7,9,8,6,3,6,8,4,noun,yes,no
ドレス,洋服,7.4,7,7,7,9,7,9,4,5,7,7,noun,yes,no
はじめ,第一番,8.2,10,7,7,9,8,8,7,6,8,6,noun,no,n/a
はじめ,一番手,7,10,6,5,9,5,9,6,4,8,7,noun,no,n/a
はじめ,皮切り,8.4,8,10,9,7,8,5,6,9,8,9,noun,yes,no
はじめ,筆頭,7.4,2,10,9,8,8,6,9,9,9,9,noun,yes,no
はじめ,一番,9.2,9,10,10,8,9,8,6,9,10,10,noun,yes,no
はじめ,トップ,7.8,6,10,7,9,7,5,8,8,8,10,noun,yes,no
はじめ,手始め,8.4,8,10,9,7,8,6,6,9,9,9,noun,yes,no
はじめ,最初,9.4,8,10,10,10,9,8,8,9,10,10,noun,yes,no
はじめ,皮きり,8.6,8,10,10,8,7,8,7,9,9,10,noun,yes,no
はじめ,端緒,8.8,6,10,10,10,8,5,7,7,9,7,noun,yes,no
はじめ,始め,10,10,10,10,10,10,10,10,10,10,10,noun,yes,no
はじめ,先頭,6.6,5,4,7,9,8,9,6,9,8,6,noun,yes,no
パターン,多様性,6,8,0,7,7,8,7,8,8,7,6,noun,yes,no
パターン,種類,8,8,7,7,9,9,8,8,6,8,7,noun,yes,no
パターン,形態,6.6,0,7,8,9,9,10,7,7,8,6,noun,yes,no
バリエーション,種類,8.6,8,8,8,10,9,10,7,7,9,7,noun,yes,no
バリエーション,パターン,7.2,6,6,8,9,7,4,8,5,9,6,noun,yes,no
バリエーション,形態,6.2,0,8,7,9,7,5,7,7,6,4,noun,yes,no
バリエーション,多様性,8.4,8,8,9,9,8,7,7,7,8,5,noun,yes,no
ひとつながり,一連,8.6,8,10,9,9,7,6,7,9,8,10,noun,no,n/a
ひとつながり,一通り,8.2,8,10,9,7,7,4,7,7,9,5,noun,no,n/a
ひとつながり,一続き,8.4,9,10,9,7,7,8,8,8,8,10,noun,no,n/a
ひとつながり,ひとまとまり,8.4,10,7,9,8,8,7,6,5,7,9,noun,no,n/a
ひとつながり,流れ,7,6,10,7,6,6,8,6,8,6,3,noun,no,n/a
ひととおり,全行程,8.6,8,10,9,8,8,6,8,9,9,8,noun,no,n/a
ひととおり,ひとつながり,6.2,10,1,3,9,8,2,6,4,8,2,noun,no,n/a
ひととおり,一連,8.4,6,10,8,9,9,8,6,8,8,7,noun,no,n/a
ファッション,コスチューム,6.8,7,6,6,9,6,6,3,6,8,5,noun,yes,no
プロフィール,実態,5,5,0,8,9,3,3,8,8,5,6,noun,yes,no
プロフィール,身上,7.4,5,7,8,8,9,8,9,8,5,9,noun,yes,no
プロフィール,身分,6.8,9,3,6,9,7,3,6,8,8,2,noun,yes,no
プロフィール,正体,7,4,6,8,9,8,8,6,5,8,3,noun,yes,no
プロフィール,素性,8,7,7,9,9,8,8,7,7,6,6,noun,yes,no
ベース,メインカラー,6.4,6,6,8,7,5,8,7,9,3,2,noun,no,n/a
ベース,基礎,9,9,9,10,9,8,9,10,9,9,10,noun,yes,no
ベース,背骨,7.2,7,5,8,9,7,7,4,6,8,2,noun,yes,no
ベース,基盤,8.2,5,9,9,10,8,10,7,7,9,7,noun,yes,no
ベース,軸,6.8,5,7,6,9,7,10,6,6,9,6,noun,yes,no
ベース,地色,8.4,9,8,8,9,8,10,6,5,8,5,noun,yes,no
ベース,骨格,6.8,2,7,8,9,8,10,8,7,9,3,noun,yes,no
ベース,骨組み,7.6,6,8,8,10,6,6,6,8,6,7,noun,yes,no
ほほえみ,微笑み,10,10,10,10,10,10,10,10,10,10,10,noun,yes,yes
まとめ,概略,8.8,7,10,10,9,8,8,7,9,9,9,noun,yes,no
まとめ,要旨,8.6,8,10,10,8,7,9,9,9,9,9,noun,yes,no
まとめ,大筋,7.6,10,5,6,9,8,6,8,8,9,7,noun,yes,no
まとめ,あらまし,7.2,6,4,8,9,9,4,7,7,8,6,noun,yes,no
まとめ,概要,8.4,9,10,8,9,6,5,8,7,9,6,noun,yes,no
まとめ,要点,9,8,10,9,9,9,9,6,9,8,7,noun,yes,no
みんな,人民,6.4,5,4,9,6,8,4,9,9,8,8,noun,yes,no
みんな,人々,6.6,5,7,5,9,7,8,7,6,8,6,noun,yes,no
みんな,国民,7.4,10,5,4,10,8,7,4,4,9,6,noun,yes,no
みんな,民,7,6,6,6,10,7,7,6,4,9,6,noun,yes,no
みんな,市民,7.4,6,7,7,9,8,7,6,6,9,2,noun,yes,no
みんな,大衆,8.2,6,10,8,10,7,9,6,9,7,6,noun,yes,no
みんな,民衆,8.4,6,10,8,10,8,9,7,9,6,5,noun,yes,no
メインカラー,基調,7.4,6,6,9,8,8,6,6,9,7,0,noun,no,n/a
メインカラー,地色,8.4,9,9,9,8,7,8,7,8,9,7,noun,no,n/a
メインカラー,軸,4.8,5,1,4,8,6,6,3,5,8,2,noun,no,n/a
メインカラー,基本,4.8,4,3,4,9,4,3,4,7,3,5,noun,no,n/a
もと,基盤,6.2,8,2,9,8,4,5,6,9,8,9,noun,yes,no
もと,基礎,8.6,10,8,9,9,7,8,7,6,9,6,noun,yes,no
もと,基調,7.4,10,7,5,9,6,3,6,4,9,4,noun,yes,no
もの,物,9.8,10,10,10,9,10,10,10,10,10,10,noun,yes,no
モノ,物体,8.6,8,8,10,8,9,8,8,9,9,10,noun,yes,no
モノ,物,9.8,10,10,10,9,10,10,10,10,10,10,noun,yes,no
モノ,もの,9.6,10,10,10,8,10,10,10,10,10,10,noun,yes,no
モノ,物質,7.8,8,8,10,5,8,8,7,9,8,9,noun,yes,no
もの,物体,8.8,10,6,9,10,9,9,8,7,9,7,noun,yes,no
もの,物質,8.8,10,7,9,10,8,7,7,8,9,7,noun,yes,no
やり方,道筋,7,8,2,9,8,8,7,6,8,8,7,noun,yes,no
やり方,術,7.6,8,5,8,9,8,9,8,9,8,9,noun,yes,no
やり方,手段,8.2,6,9,10,10,6,8,9,8,9,7,noun,yes,no
やり方,道,5.6,0,7,6,9,6,7,6,4,8,6,noun,yes,no
やり方,方法,9.4,9,10,9,10,9,9,9,7,8,7,noun,yes,no
やり方,すべ,8.8,7,10,9,10,8,8,7,9,7,5,noun,yes,no
ユニフォーム,衣装,7.6,8,6,10,5,9,9,9,8,8,10,noun,yes,no
ユニフォーム,衣服,7.4,8,5,9,7,8,6,9,8,8,8,noun,yes,no
ユニフォーム,コスチューム,7.8,8,7,8,9,7,8,7,5,7,6,noun,yes,no
よりどころ,慰め,6,10,6,4,6,4,1,6,3,8,2,noun,no,n/a
リーダー,総統,8,6,8,8,10,8,9,8,7,9,7,noun,yes,no
リーダー,頭,7.6,8,5,9,9,7,8,7,10,8,1,noun,yes,no
リーダー,ホープ,3.6,0,1,6,7,4,8,3,4,5,1,noun,yes,no
リムジン,大型高級車,6.6,8,6,8,9,2,8,3,2,9,4,noun,no,n/a
リムジン,大型高級乗用車,8.2,8,9,8,10,6,6,3,7,7,7,noun,no,n/a
リムジン,高級外車,7.6,7,7,9,9,6,6,3,8,6,6,noun,no,n/a
一番,第一番,9,10,9,10,7,9,8,6,9,10,10,noun,no,n/a
一番,一番手,7.8,8,9,8,9,5,7,7,8,8,8,noun,no,n/a
一番,先頭,6.2,7,0,9,7,8,6,9,9,8,10,noun,yes,no
一番,筆頭,6.4,3,7,5,9,8,9,5,4,9,6,noun,yes,no
一番手,第一番,7,7,3,9,8,8,7,2,9,9,9,noun,no,n/a
一番手,筆頭,8.4,8,8,9,10,7,5,6,8,8,7,noun,no,n/a
一番手,先頭,7.2,7,7,6,8,8,9,6,8,8,7,noun,no,n/a
一続き,全行程,5.6,0,4,7,9,8,3,6,4,7,4,noun,no,n/a
一般人,一般市民,8.8,8,8,10,9,9,7,10,9,10,9,noun,yes,no
一般人,民,7.8,8,6,9,8,8,7,9,9,9,8,noun,yes,no
一般人,民衆,7.8,7,6,8,10,8,8,7,6,9,7,noun,yes,no
一般人,大衆,7.4,5,7,7,10,8,8,6,9,8,7,noun,yes,no
一般市民,国民,7.6,6,6,10,8,8,9,9,9,8,8,noun,yes,no
一般市民,大衆,7.6,6,7,7,10,8,8,8,6,8,7,noun,yes,no
一般市民,人々,7.4,6,6,7,10,8,7,7,8,7,7,noun,yes,no
一般市民,民,7.8,6,7,8,10,8,9,6,10,7,7,noun,yes,no
一通り,全行程,7,7,5,9,8,6,5,6,8,9,6,noun,no,n/a
一通り,一続き,6.8,3,7,7,9,8,4,7,6,8,4,noun,no,n/a
一通り,ひとまとまり,7.8,5,10,7,9,8,6,6,8,6,3,noun,no,n/a
一通り,全て,6.2,5,6,4,9,7,7,6,6,7,5,noun,yes,no
一通り,一連,8,7,8,9,9,7,10,6,9,7,7,noun,yes,no
一通り,全部,7.4,7,6,9,7,8,9,6,9,7,6,noun,yes,no
一連,全行程,7,7,2,9,9,8,6,9,8,9,7,noun,no,n/a
一連,一続き,5.2,2,2,7,7,8,10,3,7,9,3,noun,no,n/a
一連,ひとまとまり,8.4,10,7,8,9,8,4,6,3,8,0,noun,no,n/a
一連,全部,6.2,5,3,6,9,8,2,6,3,6,6,noun,yes,no
一連,全て,7.6,7,6,9,8,8,7,6,6,4,6,noun,yes,no
上司,役員,6.4,5,6,8,7,6,7,8,7,7,8,noun,yes,no
上司,上層部,7.4,7,6,9,9,6,9,6,5,8,2,noun,yes,no
上司,幹部,6.8,7,7,6,8,6,6,6,5,8,3,noun,yes,no
上層部,重役,8.2,7,8,9,9,8,6,7,9,9,8,noun,yes,no
上層部,重鎮,7.6,6,8,8,9,7,8,6,8,7,3,noun,yes,no
上層部,幹部,7.8,7,8,7,9,8,6,7,9,8,6,noun,yes,no
上役,幹部,7.6,7,6,8,9,8,8,8,8,9,6,noun,yes,no
上役,重役,8.4,7,9,9,9,8,8,7,8,8,6,noun,yes,no
世間,市井,6.6,8,3,9,5,8,4,3,9,7,8,noun,yes,no
世間,皆,7.4,7,4,10,8,8,6,9,9,7,8,noun,yes,no
世間,聴衆,6.2,5,3,8,9,6,9,6,7,4,2,noun,yes,no
世間,群衆,7.6,6,7,8,9,8,9,6,9,7,5,noun,yes,no
中,境内,6,6,5,3,8,8,6,5,4,5,2,noun,yes,no
中,敷地内,4.4,6,1,3,7,5,8,4,5,6,1,noun,yes,no
中心,基盤,6.4,6,5,9,7,5,5,6,8,7,8,noun,yes,no
中心,ベース,5.4,4,3,5,9,6,5,7,5,8,5,noun,yes,no
中心,基調,6.8,8,4,8,9,5,8,6,9,6,2,noun,yes,no
中心人物,重役,5.6,5,0,7,9,7,5,6,8,8,2,noun,yes,no
中心人物,主要人物,7.4,8,3,8,10,8,9,7,6,9,7,noun,yes,no
中心人物,幹部,7.6,7,6,8,9,8,6,6,6,8,5,noun,yes,no
主要,要旨,7.8,8,5,10,9,7,6,6,9,8,8,noun,yes,no
人,群衆,7.6,8,6,9,7,8,6,9,9,7,7,noun,yes,no
人,一般市民,6.6,6,4,6,9,8,7,6,5,8,8,noun,yes,no
人,大衆,7,5,5,7,10,8,8,6,7,9,6,noun,yes,no
人,市民,7.2,6,6,7,9,8,8,6,5,9,7,noun,yes,no
人,民,7.8,6,7,8,10,8,7,6,9,9,8,noun,yes,no
人,一般人,6.8,6,5,5,10,8,8,6,9,7,7,noun,yes,no
人々,皆,7.2,6,5,9,9,7,7,8,9,7,8,noun,yes,no
人々,民衆,8.4,8,7,10,9,8,6,8,9,7,8,noun,yes,no
人々,人民,8.4,8,7,10,9,8,6,9,9,8,8,noun,yes,no
人々,一般人,5.8,5,3,3,10,8,7,7,4,8,7,noun,yes,no
人々,大衆,6.8,5,5,6,10,8,7,6,7,8,7,noun,yes,no
人々,市民,7,6,5,6,10,8,8,7,7,9,7,noun,yes,no
人々,聴衆,7.2,7,6,7,9,7,5,6,7,9,6,noun,yes,no
人々,庶民,7.4,5,7,8,10,7,9,6,9,8,8,noun,yes,no
人々,世間,6.4,6,2,7,10,7,6,6,9,8,8,noun,yes,no
人々,民,7.4,5,7,7,10,8,8,6,9,7,7,noun,yes,no
人々,群衆,7.8,6,7,8,10,8,8,6,9,8,6,noun,yes,no
人々,市井,6.8,6,3,8,10,7,6,6,6,7,6,noun,yes,no
人々,人,8.2,7,7,9,10,8,10,8,8,9,7,noun,yes,no
人民,庶民,8,7,7,10,8,8,8,9,9,9,8,noun,yes,no
人民,大衆,7.2,7,4,7,10,8,5,7,7,8,6,noun,yes,no
人民,群衆,7,5,5,7,10,8,8,7,9,8,7,noun,yes,no
人民,民,7.8,8,5,8,10,8,9,8,9,8,8,noun,yes,no
